Task,Best Model,Accuracy,Sensitivity,Specificity,PPV,NPV,AUC,Test Samples
Head Pose,VideoPrism,0.7098039215686275,0.4578313253012048,restful-sweep-14,0.5671641791044776,restful-sweep-14,0.7813813393107313,restful-sweep-14
Sustained Phonation A,VideoPrism,0.6953125,0.6309523809523809,icy-sweep-414,0.53,icy-sweep-414,0.7826688815060908,icy-sweep-414
Reverse Count,VideoPrism,0.7294117647058823,0.4939759036144578,crisp-sweep-15,0.6029411764705882,crisp-sweep-15,0.7953908657887363,crisp-sweep-15
Pangram Utterance,VideoMAEv2,0.7,0.6018518518518519,solar-sweep-8,0.5118110236220472,solar-sweep-8,0.749196510560147,solar-sweep-8
Eye Gaze,VideoPrism,0.7421875,0.5833333333333334,mild-sweep-107,0.6125,mild-sweep-107,0.8113233665559247,mild-sweep-107
Tongue Twister,VJEPA2,0.7639484978540773,0.527027027027027,restful-sweep-3,0.6610169491525424,restful-sweep-3,0.7777494475607682,restful-sweep-3
Facial Expression Disgust,VJEPA2,0.7699115044247787,0.5346534653465347,swept-sweep-174,0.6352941176470588,swept-sweep-174,0.7971129045677677,swept-sweep-174
Flip Palm,VJEPA2-SSv2,0.8089171974522293,0.550561797752809,hardy-sweep-82,0.7101449275362319,hardy-sweep-82,0.8621223470661673,hardy-sweep-82
Facial Expression Surprise,VJEPA2-SSv2,0.7699115044247787,0.57,dulcet-sweep-97,0.6195652173913043,dulcet-sweep-97,0.8071129707112972,dulcet-sweep-97
Sustained Phonation O,TimeSformer,0.7233201581027668,0.4642857142857143,divine-sweep-195,0.609375,divine-sweep-195,0.743941955480417,divine-sweep-195
Extend Arm,VJEPA2-SSv2,0.7705882352941177,0.6078431372549019,divine-sweep-116,0.62,divine-sweep-116,0.8237765694513098,divine-sweep-116
Sustained Phonation E,VJEPA2-SSv2,0.75390625,0.5476190476190477,vivid-sweep-174,0.647887323943662,vivid-sweep-174,0.771594684385382,vivid-sweep-174
Resting Face,TimeSformer,0.6704545454545454,0.8113207547169812,sweepy-sweep-21,0.6935483870967742,sweepy-sweep-21,0.6846361185983828,sweepy-sweep-21
Open Fist,VideoPrism,0.7834394904458599,0.6777777777777778,peach-sweep-16,0.61,peach-sweep-16,0.8364087301587302,peach-sweep-16
Nose Touch,VJEPA2-SSv2,0.792332268370607,0.5280898876404494,divine-sweep-14,0.6714285714285714,divine-sweep-14,0.8347712680577849,divine-sweep-14
Finger Tapping,TimeSformer,0.7368421052631579,0.3786407766990291,still-sweep-34,0.6,still-sweep-34,0.7604907177966446,still-sweep-34
Facial Expression Smile,VideoPrism,0.7419354838709677,0.5882352941176471,worldly-sweep-121,0.5660377358490566,worldly-sweep-121,0.7945278529821971,worldly-sweep-121
