Task,Best Model,Accuracy,Sensitivity,Specificity,PPV,NPV,AUC,Test Samples,Test Positives
Sustained Phonation A,VideoPrism,0.772,0.8125,0.7529411764705882,0.6074766355140186,0.8951048951048951,0.8083088235294118,250,80
Sustained Phonation E,VideoPrism,0.7459677419354839,0.5443037974683544,0.8402366863905325,0.6142857142857143,0.797752808988764,0.8056325368886226,248,79
Sustained Phonation O,VideoPrism,0.7560975609756098,0.5625,0.8493975903614458,0.6428571428571429,0.8011363636363636,0.7927334337349398,246,80
Facial Expression Disgust,VJEPA2,0.7621951219512195,0.5894736842105263,0.8326180257510729,0.5894736842105263,0.8326180257510729,0.8045177320984866,328,95
Facial Expression Smile,VJEPA2,0.786144578313253,0.4489795918367347,0.9273504273504274,0.7213114754098361,0.8007380073800738,0.814102564102564,332,98
Facial Expression Surprise,VJEPA2-SSv2,0.7692307692307693,0.625,0.8333333333333334,0.625,0.8333333333333334,0.773962620027435,234,72
Extend Arm,VJEPA2-SSv2,0.7798165137614679,0.6956521739130435,0.8127659574468085,0.5925925925925926,0.8721461187214612,0.8380203515263644,327,92
Eye Gaze,VideoPrism,0.744,0.5125,0.8529411764705882,0.6212121212121212,0.7880434782608695,0.7930147058823529,250,80
Finger Tapping,VJEPA2-SSv2,0.7971014492753623,0.75,0.8181818181818182,0.6486486486486487,0.8796992481203008,0.8394340034965034,207,64
Flip Palm,VJEPA2,0.8,0.75,0.8190045248868778,0.6116504854368932,0.8960396039603961,0.8789592760180995,305,84
Head Pose,VideoPrism,0.7338709677419355,0.569620253164557,0.8106508875739645,0.5844155844155844,0.8011695906432749,0.7953711332484458,248,79
Nose Touch,VJEPA2-SSv2,0.819047619047619,0.5490196078431373,0.9056603773584906,0.6511627906976745,0.8622754491017964,0.8131705512393637,210,51
Open Fist,VideoPrism,0.780327868852459,0.5176470588235295,0.8818181818181818,0.6285714285714286,0.825531914893617,0.8299732620320857,305,85
Pangram Utterance,VJEPA2,0.7448680351906158,0.6372549019607843,0.7907949790794979,0.5652173913043478,0.8362831858407079,0.8018705390105832,341,102
Resting Face,VJEPA2,0.6705882352941176,0.7843137254901961,0.5,0.7017543859649122,0.6071428571428571,0.743367935409458,85,51
Reverse Count,VideoPrism,0.6975806451612904,0.4556962025316456,0.8106508875739645,0.5294117647058824,0.7611111111111111,0.7843607220432927,248,79
Tongue Twister,VJEPA2,0.7354260089686099,0.5441176470588235,0.8193548387096774,0.5692307692307692,0.8037974683544303,0.783965844402277,223,68
