Task,Best Model,Mean Accuracy,Std Accuracy,Mean Sensitivity,Std Sensitivity,Mean Specificity,Std Specificity,Mean PPV,Std PPV,Mean NPV,Std NPV,Mean AUC,Std AUC,Test Samples,Test Positives
Sustained Phonation A,VideoPrism,0.7265333333333336,0.015912981760366207,0.6266666666666667,0.06086068508081179,0.7735294117647058,0.03638444318007903,0.5675367526766105,0.02629713606253451,0.8158643757176872,0.019147699971892453,0.7950674019607843,0.01112794510743399,250.0,80.0
Sustained Phonation E,VideoPrism,0.7329301075268817,0.01030388700602206,0.5405063291139242,0.05854297661501307,0.822879684418146,0.028943584076491405,0.5896053705203431,0.022683975858832108,0.7937610850833713,0.016898413295760438,0.7992609792025566,0.00473523773604479,248.0,79.0
Sustained Phonation O,VideoPrism,0.7302168021680215,0.018658410866233394,0.5287499999999999,0.10546234415412338,0.8273092369477911,0.03724718089068816,0.576625526155652,0.11232430242490665,0.786315866149011,0.02447809323375076,0.7884136546184739,0.007376456725062025,246.0,80.0
Facial Expression Disgust,VJEPA2,0.75630081300813,0.020380147211197797,0.5547368421052632,0.05753227569945652,0.838483547925608,0.04201329550775306,0.5893689005653676,0.04880871158939388,0.8226102478748071,0.014208791955468616,0.7991898200436715,0.011660330455026633,328.0,95.0
Facial Expression Smile,VJEPA2,0.7823293172690765,0.01207240331635503,0.5775510204081633,0.062248070430568826,0.8680911680911678,0.022240729255740853,0.6484538889542185,0.02394761751387695,0.8313723565867186,0.01785653605080216,0.8160358160358162,0.008616664477110826,332.0,98.0
Facial Expression Surprise,VJEPA2-SSv2,0.7594017094017094,0.012147063111966715,0.6134259259259258,0.03630645171610675,0.8242798353909465,0.01874652689039185,0.6087527133606278,0.02151681860234047,0.8277631350964901,0.012120136307030937,0.7688414494741654,0.008744245355119534,234.0,72.0
Extend Arm,VJEPA2-SSv2,0.798980632008155,0.0060597059737126716,0.6293478260869564,0.03417645557071554,0.8653900709219857,0.01300741729473587,0.6472817687859591,0.01450288215388846,0.8566149163250643,0.009875302552216653,0.8439932161578786,0.005242767492117328,327.0,92.0
Eye Gaze,VideoPrism,0.7409333333333332,0.016697993547302236,0.5220833333333333,0.10994137021639067,0.8439215686274509,0.03767282755681292,0.5923753908685062,0.11482577206494039,0.791495743683919,0.02577642514567336,0.7932463235294117,0.005721202766988954,250.0,80.0
Finger Tapping,VJEPA2-SSv2,0.7861513687600645,0.040694833117560524,0.5458333333333333,0.22568044459968753,0.8937062937062936,0.04518571614042905,0.6042418117849536,0.24200350979610313,0.8217686474747682,0.056076914858542375,0.8007703234265733,0.10303810598101541,207.0,64.0
Flip Palm,VJEPA2,0.7695081967213114,0.1697884129223292,0.6579365079365078,0.2140560101930765,0.8119155354449473,0.2808565919988974,0.6641609834335086,0.20706656343132343,0.7803797343987031,0.2680608542789717,0.875633843280902,0.008951979814412024,305.0,84.0
Head Pose,VideoPrism,0.728225806451613,0.01268941316051768,0.5164556962025316,0.10199432416403541,0.8272189349112425,0.03612326228321456,0.5638448923470047,0.10780250761347113,0.7869791368482711,0.02189297202903213,0.7936696377300076,0.005369277017457812,248.0,79.0
Nose Touch,VJEPA2-SSv2,0.8111111111111111,0.00895976124997936,0.5274509803921569,0.04499355860335632,0.9020964360587003,0.014463365657085146,0.6347432923078993,0.026412085920837682,0.8563650075117647,0.010610737546122023,0.8171023965141614,0.01346994084417471,210.0,51.0
Open Fist,VideoPrism,0.7735519125683061,0.010148909675116944,0.595294117647059,0.046610439931493095,0.8424242424242424,0.02243807644668209,0.5948661674413293,0.02269486429420331,0.8438459988748906,0.012669645744258044,0.8260133689839574,0.013032133477355025,305.0,85.0
Pangram Utterance,VJEPA2,0.7356793743890517,0.006789929508750996,0.5633986928104575,0.05380516868685301,0.809205020920502,0.024288171972666292,0.5583843014069486,0.013991374589164551,0.8134655530066038,0.01492660964086701,0.8028215330762708,0.003929201895329954,341.0,102.0
Resting Face,VJEPA2,0.6788235294117649,0.02696075358041152,0.8169934640522878,0.043184353577913,0.4715686274509804,0.06886128423585336,0.6996613942921976,0.024418804659739533,0.6346875787815419,0.04864328206719978,0.7450788158400615,0.021939483231213346,85.0,51.0
Reverse Count,VideoPrism,0.7233870967741937,0.012951799562858685,0.4936708860759494,0.12072891715529746,0.8307692307692308,0.04542665289448931,0.5591083313429157,0.10757899706715403,0.7807825426610081,0.0287200081815914,0.7729508401368189,0.05262509345988568,248.0,79.0
Tongue Twister,VJEPA2,0.7375186846038865,0.08492653961043048,0.5558823529411766,0.1526522469776912,0.8172043010752686,0.16501882528215198,0.5813432539281884,0.12912656354401533,0.7832589135390756,0.15070179042812729,0.7952118912080962,0.012868990471655708,223.0,68.0
