Task,Best Model,Accuracy,Sensitivity,Specificity,PPV,NPV,AUC,Test Samples,Test Positives,N
Sustained Phonation A,VideoPrism,$72.7 \pm 0.6$,$62.7 \pm 2.2$,$77.4 \pm 1.3$,$56.8 \pm 0.9$,$81.6 \pm 0.7$,$79.5 \pm 0.4$,250.0,80.0,30
Sustained Phonation E,VideoPrism,$73.3 \pm 0.4$,$54.1 \pm 2.1$,$82.3 \pm 1.0$,$59.0 \pm 0.8$,$79.4 \pm 0.6$,$79.9 \pm 0.2$,248.0,79.0,30
Sustained Phonation O,VideoPrism,$73.0 \pm 0.7$,$52.9 \pm 3.8$,$82.7 \pm 1.3$,$57.7 \pm 4.0$,$78.6 \pm 0.9$,$78.8 \pm 0.3$,246.0,80.0,30
Facial Expression Disgust,VJEPA2,$75.6 \pm 0.7$,$55.5 \pm 2.1$,$83.8 \pm 1.5$,$58.9 \pm 1.7$,$82.3 \pm 0.5$,$79.9 \pm 0.4$,328.0,95.0,30
Facial Expression Smile,VJEPA2,$78.2 \pm 0.4$,$57.8 \pm 2.2$,$86.8 \pm 0.8$,$64.8 \pm 0.9$,$83.1 \pm 0.6$,$81.6 \pm 0.3$,332.0,98.0,30
Facial Expression Surprise,VJEPA2-SSv2,$75.9 \pm 0.4$,$61.3 \pm 1.3$,$82.4 \pm 0.7$,$60.9 \pm 0.8$,$82.8 \pm 0.4$,$76.9 \pm 0.3$,234.0,72.0,30
Extend Arm,VJEPA2-SSv2,$79.9 \pm 0.2$,$62.9 \pm 1.2$,$86.5 \pm 0.5$,$64.7 \pm 0.5$,$85.7 \pm 0.4$,$84.4 \pm 0.2$,327.0,92.0,30
Eye Gaze,VideoPrism,$74.1 \pm 0.6$,$52.2 \pm 3.9$,$84.4 \pm 1.3$,$59.2 \pm 4.1$,$79.1 \pm 0.9$,$79.3 \pm 0.2$,250.0,80.0,30
Finger Tapping,VJEPA2-SSv2,$78.6 \pm 1.5$,$54.6 \pm 8.1$,$89.4 \pm 1.6$,$60.4 \pm 8.7$,$82.2 \pm 2.0$,$80.1 \pm 3.7$,207.0,64.0,30
Flip Palm,VJEPA2,$77.0 \pm 6.1$,$65.8 \pm 7.7$,$81.2 \pm 10.1$,$66.4 \pm 7.4$,$78.0 \pm 9.6$,$87.6 \pm 0.3$,305.0,84.0,30
Head Pose,VideoPrism,$72.8 \pm 0.5$,$51.6 \pm 3.6$,$82.7 \pm 1.3$,$56.4 \pm 3.9$,$78.7 \pm 0.8$,$79.4 \pm 0.2$,248.0,79.0,30
Nose Touch,VJEPA2-SSv2,$81.1 \pm 0.3$,$52.7 \pm 1.6$,$90.2 \pm 0.5$,$63.5 \pm 0.9$,$85.6 \pm 0.4$,$81.7 \pm 0.5$,210.0,51.0,30
Open Fist,VideoPrism,$77.4 \pm 0.4$,$59.5 \pm 1.7$,$84.2 \pm 0.8$,$59.5 \pm 0.8$,$84.4 \pm 0.5$,$82.6 \pm 0.5$,305.0,85.0,30
Pangram Utterance,VJEPA2,$73.6 \pm 0.2$,$56.3 \pm 1.9$,$80.9 \pm 0.9$,$55.8 \pm 0.5$,$81.3 \pm 0.5$,$80.3 \pm 0.1$,341.0,102.0,30
Resting Face,VJEPA2,$67.9 \pm 1.0$,$81.7 \pm 1.5$,$47.2 \pm 2.5$,$70.0 \pm 0.9$,$63.5 \pm 1.7$,$74.5 \pm 0.8$,85.0,51.0,30
Reverse Count,VideoPrism,$72.3 \pm 0.5$,$49.4 \pm 4.3$,$83.1 \pm 1.6$,$55.9 \pm 3.8$,$78.1 \pm 1.0$,$77.3 \pm 1.9$,248.0,79.0,30
Tongue Twister,VJEPA2,$73.8 \pm 3.0$,$55.6 \pm 5.5$,$81.7 \pm 5.9$,$58.1 \pm 4.6$,$78.3 \pm 5.4$,$79.5 \pm 0.5$,223.0,68.0,30
