Task,Best Model,Accuracy,Sensitivity,Specificity,PPV,NPV,AUC,Test Samples,Test Positives
Sustained Phonation A,VideoPrism,0.71875,0.5595238095238095,0.7965116279069767,0.573170731707317,0.7873563218390804,0.7962347729789591,256,84
Sustained Phonation E,VideoPrism,0.7265625,0.5357142857142857,0.8197674418604651,0.5921052631578947,0.7833333333333333,0.8085548172757475,256,84
Sustained Phonation O,VideoPrism,0.75390625,0.6190476190476191,0.8197674418604651,0.6265060240963856,0.815028901734104,0.8097314507198228,256,84
Facial Expression Disgust,VJEPA2,0.7935103244837758,0.6039603960396039,0.8739495798319328,0.6703296703296703,0.8387096774193549,0.7892087528080538,339,101
Facial Expression Smile,VideoPrism,0.7683284457478006,0.5686274509803921,0.8535564853556485,0.6236559139784946,0.8225806451612904,0.8121256870949215,341,102
Facial Expression Surprise,VJEPA2-SSv2,0.7640117994100295,0.54,0.8577405857740585,0.6136363636363636,0.8167330677290837,0.7993305439330544,339,100
Extend Arm,VJEPA2-SSv2,0.7852941176470588,0.5490196078431373,0.8865546218487395,0.6746987951807228,0.8210116731517509,0.8339924204976107,340,102
Eye Gaze,VideoPrism,0.7578125,0.5833333333333334,0.8430232558139535,0.6447368421052632,0.8055555555555556,0.8111849390919159,256,84
Finger Tapping,TimeSformer,0.7222222222222222,0.3786407766990291,0.8702928870292888,0.5571428571428572,0.7647058823529411,0.7656497542348784,342,103
Flip Palm,VJEPA2-SSv2,0.7961783439490446,0.6404494382022472,0.8577777777777778,0.6404494382022472,0.8577777777777778,0.8551810237203497,314,89
Head Pose,VideoPrism,0.7137254901960784,0.5421686746987951,0.7965116279069767,0.5625,0.7828571428571428,0.7904174838890445,255,83
Nose Touch,VJEPA2-SSv2,0.792332268370607,0.5280898876404494,0.8973214285714286,0.6714285714285714,0.8271604938271605,0.8330658105939004,313,89
Open Fist,VideoPrism,0.7707006369426752,0.5,0.8794642857142857,0.625,0.8140495867768595,0.844047619047619,314,90
Pangram Utterance,VideoPrism,0.7771428571428571,0.4814814814814814,0.9090909090909091,0.7027027027027027,0.7971014492753623,0.8266758494031222,350,108
Resting Face,VJEPA2-SSv2,0.7045454545454546,0.8490566037735849,0.4857142857142857,0.7142857142857143,0.68,0.7983827493261455,88,53
Reverse Count,VideoPrism,0.7294117647058823,0.5542168674698795,0.813953488372093,0.5897435897435898,0.7909604519774012,0.7992434855701877,255,83
Tongue Twister,VideoPrism,0.7339055793991416,0.581081081081081,0.8050314465408805,0.581081081081081,0.8050314465408805,0.8007819139894612,233,74
