Task,Best Model,Mean Accuracy,Std Accuracy,Mean Sensitivity,Std Sensitivity,Mean Specificity,Std Specificity,Mean PPV,Std PPV,Mean NPV,Std NPV,Mean AUC,Std AUC,Test Samples,Test Positives
Sustained Phonation A,VideoPrism,0.715234375,0.014301062546241403,0.5476190476190476,0.08176449592461986,0.7970930232558138,0.04308633404481585,0.5718749963965022,0.03312569602936437,0.784594722341503,0.024076411118824796,0.7916551310446658,0.0062614808940247195,256.0,84.0
Sustained Phonation E,VideoPrism,0.7305989583333333,0.008301210424588104,0.5186507936507936,0.02876972330723416,0.8341085271317827,0.015399945690562519,0.604746321509427,0.01645742925956247,0.7802931416411815,0.008799937116858409,0.8066399040236251,0.0036969836258456505,256.0,84.0
Sustained Phonation O,VideoPrism,0.733984375,0.008725600023521254,0.5630952380952381,0.03412587032461537,0.8174418604651161,0.013960169477753403,0.6011930444066633,0.01406720330517238,0.7932519750403068,0.011257719792777237,0.8104466592838687,0.00310568601987583,256.0,84.0
Facial Expression Disgust,VJEPA2,0.7872173058013767,0.007256022417208002,0.572937293729373,0.022627582721717436,0.8781512605042016,0.011729466617217679,0.6667197836876915,0.017919046680569112,0.829007027680418,0.006630263510131134,0.7923232659400393,0.0034732562169508437,339.0,101.0
Facial Expression Smile,VideoPrism,0.7434995112414466,0.009296962285204081,0.5140522875816993,0.06182790446126046,0.8414225941422593,0.030733968469337243,0.5831578739600939,0.025976915333673245,0.8029693819131,0.014975090026810385,0.8025049908387343,0.0073465036677250245,341.0,102.0
Facial Expression Surprise,VJEPA2-SSv2,0.7737463126843658,0.010738323792020776,0.5526666666666668,0.03832108749926645,0.8662482566248259,0.021178137558357946,0.6353774016989185,0.027750354064006916,0.8225691754098371,0.010304748453282636,0.8018256624825661,0.003934304871145683,339.0,100.0
Extend Arm,VJEPA2-SSv2,0.782058823529412,0.007927830419959866,0.557843137254902,0.03830501090179196,0.8781512605042016,0.01727118292690305,0.6637632699755933,0.022360188737242062,0.8227722493603444,0.01053566668314355,0.8317336738617015,0.003565151108874895,340.0,102.0
Eye Gaze,VideoPrism,0.7516927083333333,0.009214418851556015,0.5734126984126984,0.03111981575666293,0.8387596899224807,0.023452125186525643,0.6363115521423625,0.023902823942246493,0.801257471093109,0.008159282727736954,0.8100475267626431,0.0027311651028321883,256.0,84.0
Finger Tapping,TimeSformer,0.7297270955165691,0.010823572028428983,0.4317152103559871,0.034276613183607724,0.8581589958158998,0.025352262745155597,0.5702076117650211,0.029719001889096434,0.7781352826094607,0.006902661855904957,0.7642482837063816,0.0076350743832628,342.0,103.0
Flip Palm,VJEPA2-SSv2,0.8063694267515924,0.00799575445422659,0.5621722846441948,0.025636074640907208,0.9029629629629629,0.013912495901762068,0.697482153587151,0.02544147746201446,0.8391638273599097,0.00680881916077494,0.8530969621306699,0.004462660803623641,314.0,89.0
Head Pose,VideoPrism,0.7169934640522879,0.011517959352458806,0.5248995983935743,0.02962759724194498,0.8096899224806202,0.027649057630334487,0.5730222753884882,0.025785970780813534,0.7794932880697376,0.00651070992467485,0.7930582796301486,0.0017348490171111663,255.0,83.0
Nose Touch,VJEPA2-SSv2,0.7930777422790203,0.005854122616486105,0.5423220973782771,0.02829192484830169,0.8927083333333332,0.009267232855447819,0.667963646102265,0.013884831896734203,0.8308882241300196,0.007815375408398434,0.8304758560727661,0.0035623703931020128,313.0,89.0
Open Fist,VideoPrism,0.7678343949044587,0.008080598191179584,0.5455555555555555,0.05406821291211295,0.8571428571428572,0.015013775049552475,0.6054966042126971,0.012060934519064965,0.824860676176788,0.014943759525187913,0.8427066798941799,0.0033474250608825397,314.0,90.0
Pangram Utterance,VideoPrism,0.7547619047619046,0.012399253872658614,0.5012345679012346,0.02894864523033843,0.8679063360881544,0.025181799741099995,0.6321558257412859,0.039389842449032805,0.7959971856097855,0.006754944584965326,0.8131759514335272,0.005801559474523226,350.0,108.0
Resting Face,VJEPA2-SSv2,0.6931818181818181,0.019340066895381005,0.8452830188679246,0.026405798159732555,0.46285714285714286,0.04769124248150784,0.7048035001302221,0.016249721659537066,0.6647661788087366,0.036827945261075266,0.7759389038634322,0.01450904274756252,88.0,53.0
Reverse Count,VideoPrism,0.7315032679738565,0.007619066558310421,0.5277108433734938,0.025391060494169115,0.82984496124031,0.015186541207961458,0.6000072041376419,0.015890410721803496,0.7846599164867535,0.00749053677149544,0.8003899318203044,0.0023662591846757937,255.0,83.0
Tongue Twister,VideoPrism,0.7339055793991417,0.007390848595047374,0.54009009009009,0.034677522731200026,0.8241090146750524,0.018353675407775195,0.5890550438799779,0.016355166724529316,0.794078297709516,0.009933393441185295,0.7712504957787978,0.004328556149614688,233.0,74.0
