"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","detailed_logs","drop_prob","enable_wandb","gamma","hidden_dim","learning_rate","model","momentum","num_epochs","num_views","optimizer","patience","pooling","scheduler","seed","step_size","task_name","use_scheduler","view_index","dev_accuracy","dev_auroc","dev_f1_score","dev_loss","test_accuracy","test_auroc","test_f1_score","test_precision","test_recall","train_loss"
"pretty-sweep-52","running","-","","","2026-01-22T21:35:56.000Z","0","2287v01z","256","false","0.48521982281403087","true","","1024","0.0006062459653517257","VJEPA2","","123","1","AdamW","","mean","step","47717","","head_pose","yes","0","","","","","","","","","",""
"resilient-sweep-440","running","-","","","2026-01-22T21:35:55.000Z","0","i4o2kxbt","256","false","0.31890584195181415","true","","1024","0.00168051778231053","VJEPA2","","195","1","SGD","","max","step","34788","","sustained_phonation_a","yes","0","","","","","","","","","",""
"fiery-sweep-22","running","-","","","2026-01-22T21:35:51.000Z","4","gcl0d9ym","256","false","0.20820917202335043","true","0.8808588244592819","768","0.00019470223946384664","VJEPA2_SSV2","0.9","146","1","AdamW","3","mean","reduce","34992","11","reverse_count","yes","0","","","","","","","","","",""
"earnest-sweep-28","running","-","","","2026-01-22T21:35:50.000Z","0","0sape03p","256","false","0.4835277749493788","true","0.8808588244592819","768","0.00003660854455089886","ViViT","0.9","162","1","AdamW","3","max","reduce","86495","11","pangram_utterance","yes","0","","","","","","","","","",""
"eternal-sweep-145","running","-","","","2026-01-22T21:35:49.000Z","4","2ga080l9","256","false","0.3008770361449976","true","0.8808588244592819","768","0.0003643237533797616","VJEPA2","0.9","20","1","SGD","3","max","reduce","47174","11","eye_gaze","yes","0","","","","","","","","","",""
"dark-sweep-14","running","-","","","2026-01-22T21:35:48.000Z","4","455hbjvp","256","false","0.398479731515478","true","0.8808588244592819","512","0.000285773108234414","VideoMAE","0.9","154","1","SGD","3","mean","step","72989","11","tongue_twister","no","0","","","","","","","","","",""
"comfy-sweep-178","running","-","","","2026-01-22T21:35:48.000Z","0","hhpm976u","256","false","0.48253778959265936","true","0.8808588244592819","1024","0.0020955036829932794","VideoMAEv2","0.9","150","1","SGD","3","mean","reduce","35582","11","facial_expression_disgust","no","0","","","","","","","","","",""
"stellar-sweep-97","running","-","","","2026-01-22T21:35:46.000Z","5","jkvt5udi","256","false","0.21102188087944485","true","0.8808588244592819","768","0.00005475599539724067","VideoMAEv2","0.9","157","1","SGD","3","max","reduce","76082","11","flip_palm","yes","0","","","","","","","","","",""
"lunar-sweep-155","running","-","","","2026-01-22T21:35:44.000Z","4","8ncgwe7g","256","false","0.20112737629591737","true","0.8808588244592819","1024","0.00003879200940376272","VideoMAEv2","0.9","104","1","AdamW","3","max","step","57577","11","facial_expression_surprise","yes","0","","","","","","","","","",""
"toasty-sweep-203","running","-","","","2026-01-22T21:35:43.000Z","5","78wphc9r","256","false","0.4682277709882001","true","0.8808588244592819","512","0.000536217967772512","VideoMAE","0.9","147","1","AdamW","3","max","step","61974","11","sustained_phonation_o","yes","0","","","","","","","","","",""
