name,seed,gamma,model,pooling,momentum,patience,drop_prob,num_views,optimizer,scheduler,step_size,task_name,batch_size,hidden_dim,num_epochs,view_index,enable_wandb,detailed_logs,learning_rate,use_scheduler,_runtime,_step,_timestamp,dev_accuracy,dev_auroc,dev_f1_score,dev_loss,test_accuracy,test_auroc,test_f1_score,test_precision,test_recall,train_loss,_wandb.runtime
deft-sweep-2414,51158,0.8808588244592819,VideoPrism,mean,0.9,3,0.37405924241408894,1,AdamW,reduce,11,sustained_phonation_a,256,512,156,0,True,False,0.0075100873155574815,yes,8,156,1769163409.635392,0.7867647058823529,0.8516614869710735,0.6947368421052632,0.45820695512435017,0.71875,0.7962347729789591,0.5662650602409639,0.573170731707317,0.5595238095238095,0.34877210301858236,8
peachy-sweep-14327,48464,0.8808588244592819,VideoPrism,mean,0.9,3,0.1694156003061459,1,AdamW,step,11,sustained_phonation_a,256,512,79,0,True,False,0.009987298054321216,no,6,79,1769434206.1351671,0.7720588235294118,0.850167344011475,0.7075471698113207,0.4888922116335701,0.7109375,0.7889673311184938,0.5934065934065934,0.5510204081632653,0.6428571428571429,0.3351935131342765,6
vocal-sweep-4083,81155,0.8808588244592819,VideoPrism,mean,0.9,3,0.4710615636383543,1,AdamW,reduce,11,sustained_phonation_a,256,1024,38,0,True,False,0.0027096683685886728,yes,4,38,1769202890.685654,0.7720588235294118,0.8480755438680373,0.6836734693877551,0.46890803645638857,0.7109375,0.7944352159468439,0.5542168674698795,0.5609756097560976,0.5476190476190477,0.37206361355626255,4
stoic-sweep-2578,61043,0.8808588244592819,VideoPrism,mean,0.9,3,0.42190531605533343,1,AdamW,step,11,sustained_phonation_a,256,1024,183,0,True,False,0.008604221387647156,no,11,183,1769167189.4066515,0.7683823529411765,0.8479560124312695,0.6631016042780749,0.46078025593477134,0.73046875,0.8024640088593578,0.5605095541401274,0.6027397260273972,0.5238095238095238,0.34406901193182776,11
fallen-sweep-4361,79320,0.8808588244592819,VideoPrism,mean,0.9,3,0.3702561949612385,1,AdamW,step,11,sustained_phonation_a,256,512,33,0,True,False,0.003459047108771426,no,3,33,1769209561.5957737,0.8088235294117647,0.847477886684198,0.7204301075268817,0.470179673503427,0.71484375,0.8004568106312292,0.5575757575757576,0.5679012345679012,0.5476190476190477,0.3587349945155789,3
fearless-sweep-4599,36619,0.8808588244592819,VideoPrism,mean,0.9,3,0.23087146909898473,1,AdamW,reduce,11,sustained_phonation_a,256,768,171,0,True,False,0.005862390214780285,yes,12,171,1769215081.1860435,0.8051470588235294,0.8473583552474301,0.7135135135135136,0.4638579943600823,0.72265625,0.8007336655592469,0.5477707006369427,0.589041095890411,0.5119047619047619,0.39552520850023976,12
jolly-sweep-2618,78564,0.8808588244592819,VideoPrism,mean,0.9,3,0.26211594119742265,1,AdamW,reduce,11,sustained_phonation_a,256,1024,144,0,True,False,0.001492118434405297,no,7,144,1769167992.492014,0.8088235294117647,0.8471790580922782,0.7111111111111111,0.4675319580470814,0.7109375,0.7946428571428571,0.5256410256410257,0.5694444444444444,0.4880952380952381,0.374062642329277,7
dashing-sweep-6096,55129,0.8808588244592819,VideoPrism,mean,0.9,3,0.47351460067931195,1,AdamW,reduce,11,sustained_phonation_a,256,768,40,0,True,False,0.003680778708145508,yes,3,40,1769248938.5931149,0.7941176470588235,0.8469698780779344,0.6989247311827957,0.4643694863599889,0.703125,0.7911129568106311,0.5064935064935064,0.5571428571428572,0.4642857142857143,0.3787604378776757,3
electric-sweep-1056,50146,0.8808588244592819,VideoPrism,mean,0.9,3,0.25514930557811255,1,AdamW,reduce,11,sustained_phonation_a,256,1024,120,0,True,False,0.008697099627732163,yes,8,120,1769132102.47234,0.7794117647058824,0.8462825723165193,0.696969696969697,0.4717266173923717,0.7109375,0.7903516057585825,0.5647058823529412,0.5581395348837209,0.5714285714285714,0.3920637504326851,8
proud-sweep-9126,40881,0.8808588244592819,VideoPrism,mean,0.9,3,0.31612783356585905,1,AdamW,step,11,sustained_phonation_a,256,256,72,0,True,False,0.0020531870579395704,no,4,72,1769316940.2854571,0.7941176470588235,0.8460435094429835,0.7021276595744681,0.4824148556765388,0.7265625,0.8000415282392026,0.5679012345679012,0.5897435897435898,0.5476190476190477,0.35721906814701737,4
