Task,Best Model,Accuracy,Sensitivity,Specificity,PPV,NPV,AUC,Test Samples,Test Positives,N
Sustained Phonation A,VideoPrism,$70.4 \pm 0.6$,$50.0 \pm 1.5$,$80.3 \pm 1.4$,$55.7 \pm 1.4$,$76.7 \pm 0.4$,$78.8 \pm 0.3$,256.0,84.0,30
Sustained Phonation E,VJEPA2-SSv2,$71.6 \pm 0.2$,$50.7 \pm 0.8$,$81.8 \pm 0.5$,$57.7 \pm 0.5$,$77.3 \pm 0.2$,$75.1 \pm 0.2$,256.0,84.0,30
Sustained Phonation O,VideoPrism,$74.3 \pm 0.3$,$63.1 \pm 0.7$,$79.9 \pm 0.6$,$60.5 \pm 0.6$,$81.6 \pm 0.2$,$80.4 \pm 0.3$,256.0,84.0,30
Facial Expression Disgust,VJEPA2,$77.2 \pm 0.3$,$55.6 \pm 1.0$,$86.4 \pm 0.4$,$63.4 \pm 0.6$,$82.1 \pm 0.3$,$79.4 \pm 0.1$,339.0,101.0,30
Facial Expression Smile,VideoPrism,$74.6 \pm 0.2$,$52.0 \pm 1.5$,$84.2 \pm 0.7$,$58.6 \pm 0.5$,$80.5 \pm 0.4$,$79.9 \pm 0.1$,341.0,102.0,30
Facial Expression Surprise,VJEPA2,$75.4 \pm 0.2$,$52.1 \pm 1.1$,$85.1 \pm 0.5$,$59.5 \pm 0.5$,$80.9 \pm 0.3$,$79.1 \pm 0.2$,339.0,100.0,30
Extend Arm,VJEPA2-SSv2,$77.7 \pm 0.3$,$55.4 \pm 2.2$,$87.3 \pm 0.8$,$65.2 \pm 0.7$,$82.1 \pm 0.6$,$82.4 \pm 0.2$,340.0,102.0,30
Eye Gaze,VideoPrism,$74.2 \pm 0.6$,$61.5 \pm 2.7$,$80.3 \pm 1.5$,$60.7 \pm 1.1$,$81.2 \pm 0.8$,$79.7 \pm 0.7$,256.0,84.0,30
Finger Tapping,TimeSformer,$74.0 \pm 0.3$,$37.5 \pm 1.1$,$89.7 \pm 0.6$,$61.1 \pm 0.9$,$76.9 \pm 0.2$,$76.3 \pm 0.3$,342.0,103.0,30
Flip Palm,VJEPA2-SSv2,$78.5 \pm 0.3$,$67.9 \pm 0.5$,$82.6 \pm 0.4$,$60.8 \pm 0.5$,$86.7 \pm 0.2$,$85.8 \pm 0.1$,314.0,89.0,30
Head Pose,VideoPrism,$71.7 \pm 0.6$,$57.9 \pm 2.2$,$78.3 \pm 1.6$,$56.6 \pm 1.0$,$79.5 \pm 0.5$,$78.6 \pm 0.4$,255.0,83.0,30
Nose Touch,VJEPA2-SSv2,$79.1 \pm 0.3$,$56.1 \pm 1.4$,$88.3 \pm 0.3$,$65.6 \pm 0.5$,$83.5 \pm 0.4$,$83.1 \pm 0.2$,313.0,89.0,30
Open Fist,VideoPrism,$76.9 \pm 0.3$,$56.7 \pm 1.9$,$85.0 \pm 0.5$,$60.3 \pm 0.5$,$83.0 \pm 0.6$,$83.9 \pm 0.1$,314.0,90.0,30
Pangram Utterance,VideoPrism,$74.3 \pm 0.5$,$53.1 \pm 1.4$,$83.8 \pm 1.1$,$59.7 \pm 1.4$,$80.0 \pm 0.4$,$80.6 \pm 0.4$,350.0,108.0,30
Resting Face,VJEPA2-SSv2,$68.0 \pm 0.9$,$82.5 \pm 1.5$,$45.9 \pm 2.1$,$69.8 \pm 0.7$,$63.7 \pm 1.7$,$76.1 \pm 0.6$,88.0,53.0,30
Reverse Count,VideoPrism,$72.8 \pm 0.4$,$59.7 \pm 1.8$,$79.1 \pm 0.6$,$57.9 \pm 0.4$,$80.3 \pm 0.6$,$80.1 \pm 0.1$,255.0,83.0,30
Tongue Twister,VJEPA2-SSv2,$76.1 \pm 0.5$,$61.8 \pm 0.8$,$82.8 \pm 0.8$,$62.7 \pm 1.0$,$82.3 \pm 0.3$,$77.8 \pm 0.3$,233.0,74.0,30
