Task,Best Model,Accuracy,Sensitivity,Specificity,PPV,NPV,AUC,Test Samples,Test Positives,N
Sustained Phonation A,VideoPrism,$72.2 \pm 0.8$,$57.5 \pm 7.3$,$79.1 \pm 2.7$,$50.8 \pm 6.2$,$80.6 \pm 1.7$,$77.1 \pm 2.7$,250.0,80.0,30
Sustained Phonation E,VideoPrism,$71.9 \pm 2.7$,$61.9 \pm 2.9$,$76.7 \pm 5.2$,$56.9 \pm 1.8$,$78.5 \pm 5.3$,$79.6 \pm 0.3$,248.0,79.0,30
Sustained Phonation O,VideoPrism,$74.1 \pm 0.6$,$59.7 \pm 4.3$,$81.1 \pm 1.5$,$58.4 \pm 4.0$,$80.9 \pm 1.0$,$78.5 \pm 1.9$,246.0,80.0,30
Facial Expression Disgust,VJEPA2,$70.2 \pm 4.2$,$60.0 \pm 7.5$,$74.4 \pm 8.1$,$49.4 \pm 5.6$,$77.2 \pm 7.7$,$79.8 \pm 0.2$,328.0,95.0,30
Facial Expression Smile,VJEPA2,$72.8 \pm 3.2$,$33.4 \pm 11.7$,$89.3 \pm 6.6$,$32.5 \pm 11.3$,$74.7 \pm 5.6$,$68.1 \pm 5.2$,332.0,98.0,30
Facial Expression Surprise,VJEPA2-SSv2,$71.2 \pm 4.1$,$47.0 \pm 11.7$,$81.9 \pm 8.5$,$40.8 \pm 10.1$,$73.7 \pm 7.6$,$68.0 \pm 4.5$,234.0,72.0,30
Extend Arm,VJEPA2,$75.9 \pm 0.3$,$66.8 \pm 1.1$,$79.7 \pm 0.7$,$57.4 \pm 0.6$,$85.5 \pm 0.4$,$83.4 \pm 0.2$,331.0,96.0,30
Eye Gaze,VideoPrism,$75.7 \pm 0.4$,$64.4 \pm 1.4$,$81.0 \pm 1.0$,$61.7 \pm 0.9$,$82.9 \pm 0.4$,$80.3 \pm 0.2$,250.0,80.0,30
Finger Tapping,VJEPA2-SSv2,$75.6 \pm 2.0$,$38.1 \pm 11.4$,$92.4 \pm 2.3$,$41.5 \pm 12.4$,$78.2 \pm 2.8$,$71.0 \pm 5.6$,207.0,64.0,30
Flip Palm,VJEPA2,$73.7 \pm 5.8$,$73.4 \pm 8.1$,$73.8 \pm 9.5$,$54.0 \pm 6.9$,$79.9 \pm 9.9$,$88.2 \pm 0.2$,305.0,84.0,30
Head Pose,VideoPrism,$74.7 \pm 0.4$,$62.7 \pm 1.4$,$80.3 \pm 0.6$,$59.8 \pm 0.6$,$82.2 \pm 0.5$,$79.9 \pm 0.2$,248.0,79.0,30
Nose Touch,VJEPA2-SSv2,$80.0 \pm 0.5$,$55.8 \pm 4.0$,$87.8 \pm 1.1$,$57.7 \pm 4.0$,$86.2 \pm 0.8$,$82.3 \pm 0.4$,210.0,51.0,30
Open Fist,VJEPA2-SSv2,$69.3 \pm 6.5$,$67.1 \pm 9.1$,$70.1 \pm 11.4$,$52.2 \pm 7.8$,$74.6 \pm 10.8$,$84.6 \pm 0.1$,267.0,73.0,30
Pangram Utterance,VJEPA2,$73.8 \pm 0.8$,$50.4 \pm 7.3$,$83.8 \pm 2.5$,$49.6 \pm 7.2$,$80.4 \pm 1.5$,$75.4 \pm 3.8$,341.0,102.0,30
Resting Face,VJEPA2,$67.3 \pm 1.1$,$79.3 \pm 1.5$,$49.3 \pm 2.8$,$70.3 \pm 1.0$,$61.5 \pm 1.9$,$74.6 \pm 0.6$,85.0,51.0,30
Reverse Count,VideoPrism,$72.6 \pm 0.4$,$57.3 \pm 1.2$,$79.8 \pm 0.8$,$57.1 \pm 0.7$,$80.0 \pm 0.4$,$77.9 \pm 0.3$,248.0,79.0,30
Tongue Twister,VJEPA2,$71.3 \pm 2.9$,$64.3 \pm 7.2$,$74.3 \pm 6.1$,$50.8 \pm 5.4$,$80.6 \pm 5.7$,$80.4 \pm 0.2$,223.0,68.0,30
