name,id,seed,gamma,model,pooling,momentum,patience,drop_prob,num_views,optimizer,scheduler,step_size,task_name,batch_size,hidden_dim,num_epochs,view_index,enable_wandb,detailed_logs,learning_rate,use_scheduler,_runtime,_step,_timestamp,dev_accuracy,dev_auroc,dev_f1_score,dev_loss,test_accuracy,test_auroc,test_f1_score,test_npv,test_positives,test_precision,test_recall,test_samples,test_specificity,train_loss,_wandb.runtime
golden-sweep-1549,jmvtnjqi,76015,0.1,VideoPrism,mean,0.9,5,0.46074876534828835,1,AdamW,reduce,7,sustained_phonation_a,256,768,125,0,True,False,0.006621182680916676,no,65,125,1770266467.396436,0.7977941176470589,0.8484341381783409,0.7058823529411765,0.4838138257755953,0.69921875,0.7959579180509413,0.5333333333333333,0.7714285714285715,84,0.5432098765432098,0.5238095238095238,256,0.7848837209302325,0.30581200761934973,65
rose-sweep-812,96892431,17088,0.1,VideoPrism,mean,0.9,3,0.22127943197626607,1,AdamW,reduce,10,sustained_phonation_a,256,768,73,0,True,False,0.0021413982848290376,no,35,73,1770212619.6306748,0.7941176470588235,0.8460435094429837,0.6818181818181818,0.4684005379676819,0.71484375,0.7933970099667774,0.496551724137931,0.7538461538461538,84,0.5901639344262295,0.42857142857142855,256,0.8546511627906976,0.3867954625905771,35
grateful-sweep-202,jirp4hji,42325,0.1,VideoPrism,mean,0.9,5,0.3050933423080376,1,AdamW,reduce,10,sustained_phonation_a,256,512,187,0,True,False,0.003371982919339403,no,89,187,1770165634.124006,0.7610294117647058,0.845565383695912,0.6798029556650246,0.4784266527961282,0.703125,0.7900747508305648,0.5581395348837209,0.7857142857142857,84,0.5454545454545454,0.5714285714285714,256,0.7674418604651163,0.361866997744106,89
fresh-sweep-1173,t80xxwl2,47897,0.1,VideoPrism,mean,0.9,5,0.36772237402218255,1,AdamW,reduce,8,sustained_phonation_a,256,1024,137,0,True,False,0.0013640540777888788,no,58,137,1770239075.4668376,0.8088235294117647,0.8454458522591441,0.7111111111111111,0.47185654149335976,0.69140625,0.7948504983388704,0.48366013071895425,0.7486631016042781,84,0.5362318840579711,0.44047619047619047,256,0.813953488372093,0.3688870142329627,58
golden-sweep-154,niu1h2jj,1588,0.1,VideoPrism,mean,0.9,5,0.22264685434779097,1,AdamW,reduce,10,sustained_phonation_a,256,1024,78,0,True,False,0.0064262175594266766,no,30,78,1770161874.426421,0.7904411764705882,0.8453263208223762,0.6984126984126984,0.4778071361429551,0.69921875,0.7916666666666667,0.5032258064516129,0.7567567567567568,84,0.5492957746478874,0.4642857142857143,256,0.813953488372093,0.3571799334231133,30
revived-sweep-436,58vv3u3v,70742,0.1,VideoPrism,mean,0.9,5,0.24828042596219488,1,AdamW,reduce,10,sustained_phonation_a,256,1024,23,0,True,False,0.0014392094103779698,no,14,23,1770184172.2986395,0.7941176470588235,0.8452665551039924,0.711340206185567,0.4789989590644837,0.6875,0.7904900332225914,0.5121951219512195,0.7613636363636364,84,0.525,0.5,256,0.7790697674418605,0.3428981074092081,14
devout-sweep-1538,r3gz26lq,35080,0.1,VideoPrism,mean,0.9,5,0.16098851402017397,1,AdamW,reduce,10,sustained_phonation_a,256,1024,63,0,True,False,0.005734531134607559,no,26,63,1770265684.8293698,0.7904411764705882,0.8452665551039924,0.6885245901639344,0.47569314521901745,0.7265625,0.8042635658914729,0.5333333333333333,0.7684210526315789,84,0.6060606060606061,0.47619047619047616,256,0.8488372093023255,0.3617830830825909,26
denim-sweep-29,xa7whkx4,16859,0.1,VideoPrism,mean,0.9,5,0.2921011863406342,1,AdamW,reduce,10,sustained_phonation_a,256,768,115,0,True,False,0.0030305719684073523,no,60,115,1770153153.0186608,0.7683823529411765,0.8451470236672245,0.6956521739130435,0.474176287651062,0.7109375,0.7916666666666666,0.5697674418604651,0.7916666666666666,84,0.5568181818181818,0.5833333333333334,256,0.7732558139534884,0.3872719586030086,60
stilted-sweep-434,jvru6k4o,56078,0.1,VideoPrism,mean,0.9,5,0.33446725480774464,1,AdamW,reduce,9,sustained_phonation_a,256,768,187,0,True,False,0.0012551920803309752,no,91,187,1770184076.4958615,0.8051470588235294,0.8450274922304566,0.7165775401069518,0.4791392228182624,0.71484375,0.7976882613510521,0.546583850931677,0.776536312849162,84,0.5714285714285714,0.5238095238095238,256,0.8081395348837209,0.3193293380010747,91
eager-sweep-688,qfv91hiu,83385,0.1,VideoPrism,mean,0.9,4,0.24510478259748997,1,AdamW,reduce,8,sustained_phonation_a,256,256,92,0,True,False,0.001701462744714554,no,48,92,1770203248.392391,0.7904411764705882,0.8449677265120726,0.6951871657754011,0.47020095236161175,0.6953125,0.7907668881506091,0.5063291139240507,0.7582417582417582,84,0.5405405405405406,0.47619047619047616,256,0.8023255813953488,0.374503749756996,48
