name,id,seed,beta1,beta2,gamma,momentum,patience,optimizer,query_dim,scheduler,step_size,batch_size,hidden_dim,num_epochs,num_trials,num_buckets,temperature,dropout_prob,enable_wandb,weight_decay,learning_rate,use_scheduler,noise_variance,last_hidden_dim,increase_variance,task_subset_choice,train_random_noise,uncertainty_weight,unimodal_hidden_dim,unimodal_dropout_prob,validation_random_noise,BS,ECE,FPR,NPV,PPV,TNR,TPR,_runtime,_step,_timestamp,accuracy,auroc,average_precision,coverage,dev_accuracy,dev_auroc,dev_balanced_accuracy,dev_ece,dev_f1,dev_loss,f1_score,loss,precision,recall,sensitivity,specificity,train_loss,weighted_accuracy,_wandb.runtime,confusion_matrix.fn,confusion_matrix.fp,confusion_matrix.tn,confusion_matrix.tp
fine-sweep-2821,kbwry5el,40056,0.9,0.999,0.1,0.9,5,AdamW,128,reduce,8,256,256,144,30,20,0.05,0.3361546041818984,True,0.0001,4.802415737286784e-05,no,0.01,32,no,0,no,0,1024,0.4129429352688252,no,0.17549895160287798,0.09813858213021316,0.20253164556962025,0.8362831858407079,0.5428571428571428,0.7974683544303798,0.6063829787234043,27.368571043014526,865.0,1770738144.00335,0.743202416918429,0.8022712990394111,0.6118656779864275,0.973529411764706,0.7645429362880887,0.8382088520055325,0.7373811864962307,0.07021204437905733,0.6666666666666666,0.49514956487512984,0.5728643216080402,0.5337963328642004,0.5428571428571428,0.6063829787234043,0.6063829787234043,0.7974683544303798,0.043807823210954666,0.6895701643489254,26.0,37.0,48.0,189.0,57.0
sweet-sweep-5975,hefo3vyt,74240,0.9,0.999,0.1,0.9,4,AdamW,128,reduce,7,256,512,144,30,20,0.05,0.4182174063419112,True,0.0001,6.723537431355387e-05,no,0.01,128,no,0,no,0,1024,0.27384028148391204,no,0.16960378939128737,0.10478408630187806,0.1350210970464135,0.8102766798418972,0.6,0.8649789029535865,0.5,28.605085372924805,865.0,1770807883.0541973,0.7597597597597597,0.803006329113924,0.5990523036386987,0.9794117647058824,0.7950138504155124,0.836237897648686,0.7703492541594952,0.06606142623272629,0.6810344827586207,0.4908622678297048,0.5454545454545454,0.5294289981617647,0.6,0.5,0.5,0.8649789029535865,0.01276284735649824,0.7051383399209485,28.0,48.0,32.0,205.0,48.0
curious-sweep-2997,j30at30g,18849,0.9,0.999,0.1,0.9,4,AdamW,128,reduce,7,256,256,149,30,20,0.05,0.1985735083576743,True,0.0001,4.6908580645645896e-05,no,0.01,256,no,0,no,0,256,0.1367409083486571,no,0.16264769324449718,0.08150173159119503,0.1762114537444934,0.8311111111111111,0.5876288659793815,0.8237885462555066,0.6,28.4329035282135,895.0,1770741971.3898406,0.7577639751552795,0.8131694875956411,0.6487685902961906,0.9470588235294116,0.7673130193905817,0.835926694329184,0.7395791980944819,0.03461991997636916,0.6666666666666666,0.4787215129820594,0.59375,0.4984852959127987,0.5876288659793815,0.6,0.6,0.8237885462555066,0.004274589009582996,0.7093699885452462,27.0,38.0,40.0,187.0,57.0
still-sweep-6241,dnn4e7p9,65001,0.9,0.999,0.1,0.9,5,AdamW,128,reduce,8,256,768,160,30,20,0.05,0.3872019857955733,True,0.0001,6.142065508172237e-05,no,0.01,256,no,0,no,0,768,0.40584410425286166,no,0.16732586903363755,0.08708778452071214,0.15086206896551724,0.8242677824267782,0.6022727272727273,0.8491379310344828,0.5578947368421052,28.0964195728302,961.0,1770813749.3051465,0.764525993883792,0.8091651542649728,0.6029131667121321,0.961764705882353,0.7728531855955678,0.8341977869986168,0.7441414496833216,0.07547166208811412,0.652542372881356,0.498559840828428,0.5792349726775956,0.5367073956657858,0.6022727272727273,0.5578947368421052,0.5578947368421052,0.8491379310344828,0.024774154648184776,0.7132702548497527,27.0,42.0,35.0,197.0,53.0
wandering-sweep-3174,zu8e1q42,84839,0.9,0.999,0.1,0.9,4,AdamW,128,reduce,9,256,512,116,30,20,0.05,0.45635207690961255,True,0.0001,0.00020651736148348011,no,0.01,64,no,0,no,0,512,0.2781278415510101,no,0.16555039011939854,0.1115519338590236,0.15021459227467812,0.8215767634854771,0.5882352941176471,0.8497854077253219,0.5376344086021505,32.896830797195435,697.0,1770745930.0237775,0.7607361963190185,0.8236189948774746,0.6471321010520971,0.9588235294117649,0.7867036011080333,0.833298755186722,0.7597576220570873,0.07477289702423393,0.6778242677824268,0.5108942259051463,0.5617977528089888,0.5180994370404411,0.5882352941176471,0.5376344086021505,0.5376344086021505,0.8497854077253219,0.02997259236872196,0.7049060288015621,32.0,43.0,35.0,198.0,50.0
good-sweep-5497,u1ca078y,12056,0.9,0.999,0.1,0.9,5,AdamW,64,reduce,3,256,1024,197,30,20,0.05,0.343798195314561,True,0.0001,2.972181879132735e-05,no,0.01,128,no,0,no,0,768,0.2047395107088564,no,0.1732042822313449,0.09565873762402372,0.17467248908296942,0.8253275109170306,0.574468085106383,0.8253275109170306,0.574468085106383,33.81990098953247,1183.0,1770797343.3189409,0.7523219814241486,0.7950850134720803,0.6101869333814719,0.95,0.7534626038781164,0.8332295988934992,0.7234167844404065,0.091154416677364,0.6396761133603239,0.49111397444706545,0.574468085106383,0.5453608793370864,0.574468085106383,0.574468085106383,0.574468085106383,0.8253275109170306,0.007975303567945957,0.6998977980117068,33.0,40.0,40.0,189.0,54.0
splendid-sweep-329,eqt7uk5o,53528,0.9,0.999,0.1,0.9,5,AdamW,128,reduce,4,256,512,166,30,20,0.05,0.3524005848255659,True,0.0001,0.0001225706446010622,no,0.01,256,no,0,no,0,256,0.4621833388990416,no,0.1651507340909815,0.09753990841634348,0.13304721030042918,0.808,0.6125,0.8669527896995708,0.5051546391752577,34.67170310020447,997.0,1770683467.833032,0.7606060606060606,0.8184593602053006,0.634815673385363,0.9705882352941176,0.7894736842105263,0.8331604426002767,0.7643426294820717,0.09371464899702414,0.6695652173913044,0.504489085020451,0.5536723163841808,0.5206926233628217,0.6125,0.5051546391752577,0.5051546391752577,0.8669527896995708,0.002577904844656586,0.71025,34.0,48.0,31.0,202.0,49.0
atomic-sweep-6205,ng2i2gzn,14763,0.9,0.999,0.1,0.9,5,AdamW,128,reduce,10,256,256,73,30,20,0.05,0.37551389474174257,True,0.0001,0.0038783710686973102,no,0.01,256,no,0,no,0,1024,0.1673634088681879,no,0.15351017616462156,0.0644588249903571,0.13852813852813853,0.8291666666666667,0.632183908045977,0.8614718614718615,0.5729166666666666,17.52144455909729,439.0,1770812955.7689886,0.7767584097859327,0.8170093795093794,0.6938413416059983,0.961764705882353,0.7728531855955678,0.8324343015214385,0.7442645074224021,0.058850252066953025,0.6495726495726496,0.48754832090763506,0.6010928961748634,0.4890430226045496,0.632183908045977,0.5729166666666666,0.5729166666666666,0.8614718614718615,0.1970171332359314,0.7306752873563218,17.0,41.0,32.0,199.0,55.0
genial-sweep-6504,cm1c1ayt,3063,0.9,0.999,0.1,0.9,5,AdamW,128,reduce,3,256,256,161,30,20,0.05,0.39666086694436187,True,0.0001,0.0015714760985317106,yes,0.01,64,no,0,no,0,256,0.3694918412991448,no,0.16807246265877465,0.11098231723208628,0.18723404255319148,0.8414096916299559,0.5887850467289719,0.8127659574468085,0.6363636363636364,29.973599910736084,967.0,1770819530.880455,0.7604790419161677,0.8210616806361487,0.6371864765882527,0.9823529411764704,0.7562326869806094,0.8322268326417704,0.7336315188427864,0.07748461066850997,0.6716417910447762,0.5096761434031986,0.6116504854368932,0.5096464269301471,0.5887850467289719,0.6363636363636364,0.6363636363636364,0.8127659574468085,0.15131276845932007,0.715097369179464,29.0,36.0,44.0,191.0,63.0
swept-sweep-4384,l8b8o4xf,67144,0.9,0.999,0.1,0.9,4,AdamW,128,reduce,5,256,1024,135,30,20,0.05,0.27001270194509963,True,0.0001,7.367434382599755e-05,no,0.01,64,no,0,no,0,1024,0.16848896450852402,no,0.16915980435572484,0.08360218062545312,0.15384615384615383,0.8148148148148148,0.5862068965517241,0.8461538461538461,0.53125,30.084811210632324,811.0,1770772974.883155,0.7545454545454545,0.7992788461538461,0.603429921393442,0.9705882352941176,0.7645429362880887,0.8319502074688797,0.7350037576006012,0.053347236892192965,0.6502057613168725,0.48753327345914127,0.5573770491803278,0.5241387311150046,0.5862068965517241,0.53125,0.53125,0.8461538461538461,0.014084932394325731,0.7005108556832694,29.0,45.0,36.0,198.0,51.0
